SnmpWalk v1.01 - Copyright (C) 2009 SnmpSoft Company
[ More useful network tools on http://www.snmpsoft.com ]

OID=.1.3.6.1.2.1.17.4.3.1.2.20.88.208.91.159.148, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.20.88.208.91.207.14, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.24.61.162.8.170.120, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.24.169.5.178.195.192, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.32.179.153.84.164.210, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.32.179.153.95.48.60, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.40.128.35.10.95.199, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.40.128.35.10.95.240, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.40.128.35.10.159.253, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.60.74.146.68.236.53, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.64.168.240.167.100.136, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.64.168.240.167.100.218, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.64.168.240.167.152.2, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.68.30.161.53.8.247, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.72.68.135.43.177.146, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.76.230.118.31.12.104, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.80.86.191.231.177.28, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.88.73.59.59.139.17, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.88.73.59.59.139.21, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.88.109.143.119.220.102, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.116.70.160.152.50.206, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.116.70.160.152.50.210, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.116.70.160.157.79.178, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.120.72.89.28.179.43, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.120.75.135.69.232.2, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.120.75.135.117.90.184, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.120.75.135.194.16.207, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.120.172.192.152.8.21, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.120.231.209.163.209.27, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.120.231.209.213.249.229, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.124.122.145.172.119.234, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.124.122.145.172.121.32, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.124.122.145.172.139.119, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.124.122.145.172.175.13, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.132.58.75.32.1.122, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.140.220.212.97.214.22, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.144.114.64.132.121.146, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.148.57.229.86.206.95, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.22.45.148.195.17, Type=Integer, Value=11
OID=.1.3.6.1.2.1.17.4.3.1.2.172.22.45.148.203.5, Type=Integer, Value=16
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.10.130.99, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.10.131.150, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.10.131.243, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.10.132.207, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.10.132.239, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.10.132.240, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.10.139.145, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.10.139.151, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.10.189.64, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.11.76.232, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.11.78.167, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.11.89.199, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.11.112.191, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.11.113.4, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.11.113.43, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.11.113.219, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.11.113.221, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.11.113.237, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.11.114.0, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.11.116.76, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.172.204.142.11.187.40, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.184.120.46.7.123.40, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.184.120.46.36.66.132, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.188.140.205.165.81.225, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.196.52.107.197.188.18, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.196.52.107.197.188.44, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.196.52.107.197.220.48, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.200.203.184.99.191.164, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.212.201.239.248.241.228, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.212.201.239.252.157.50, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.212.201.239.252.159.150, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.216.211.133.147.187.153, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.232.42.234.221.213.56, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.232.42.234.222.30.58, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.236.154.116.100.76.175, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.236.244.187.192.134.101, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.240.36.117.178.84.219, Type=Integer, Value=19
Total: 250
